domain,tld,email_type,spon_registrar,keyword,httpcode,locate_cmp,web_judge_result
lcbea.com,1,0,0,1,3,7,no
ccbesy.cc,3,5,1,1,3,1,no
huaxiayh.com,1,1,2,1,4,2,no
95588og.cc,3,1,8,1,2,4,no
092000.com,1,0,0,1,2,1,no
icloudcapital.org,5,12,12,1,4,3,yes
ccberk.cc,3,0,0,1,3,1,no
jjhhgema.com,1,0,0,2,3,4,no
860289.com,1,0,0,4,2,1,no
amicbc.com,1,2,2,1,3,4,no
greenzoom.cn,2,3,12,1,1,7,yes
daogout.com,1,3,12,1,4,3,yes
rqdsj.com,1,0,0,1,2,4,no
011xpj.com,1,0,0,1,4,1,no
pp888.net,4,0,3,1,2,1,no
clline.com,1,1,12,2,1,2,yes
531118.com,1,12,11,2,2,4,no
doczj.com,1,0,3,2,2,1,yes
xianjinqipai.com,1,12,12,2,2,1,yes
45598p.com,1,0,0,4,2,1,no
ccumaq.cc,3,5,1,1,3,1,no
92xiaohua.com,1,0,0,2,2,1,yes
95588it.com,1,12,12,1,3,2,no
95533yij.cc,3,2,8,1,3,4,no
ccdsca.com,1,1,10,2,2,4,no
ccb-ha.com,1,0,0,2,2,1,no
syjypt8.com,1,0,0,1,2,1,no
iuvjf.com,1,12,10,1,3,1,no
557178.com,1,0,0,1,2,1,no
unhgf.cc,3,1,2,1,3,4,no
paiw168.com,1,0,0,2,2,1,no
kmdjwb.cc,3,5,1,1,3,1,no
ccbwt.cc,3,5,1,1,3,3,no
1915566.com,1,12,12,2,3,5,no
95588dfi.cc,3,2,8,1,3,4,no
365sugou.com,1,0,0,1,4,1,yes
51emc.com,1,12,6,1,3,5,yes
icbta.cc,3,12,1,1,3,1,no
ixbtu.com,1,0,0,1,3,1,no
ojfienc.com,1,0,0,1,3,1,no
sxabt.com,1,12,12,2,2,1,yes
iydfc.com,1,0,0,1,4,1,no
cobeninc.cn,2,0,0,1,3,1,no
tyc605.com,1,0,0,4,2,1,no
sonkwo.com,1,12,1,2,2,1,yes
ahxinsiwei.com,1,12,2,2,2,3,yes
668128.com,1,1,12,2,2,1,no
cvbshtyjsgd.tk,14,0,0,1,2,1,no
234103.com,1,0,0,4,2,1,no
iccnbc.com,1,0,0,1,3,5,no
icbcdsb.pw,11,0,0,1,2,7,no
ccita.cc,3,1,2,1,3,4,no
bccrd.cc,3,1,12,1,3,4,no
opencartchina.com,1,0,0,1,2,1,yes
ccbmk.cc,3,5,1,1,3,7,no
95588dh.com,1,0,0,1,3,1,no
tbpyn.com,1,0,0,1,3,1,no
zzmxms.cn,2,3,12,2,2,1,yes
zhuangxiuluntan.cn,2,2,12,1,4,1,no
cboxkt.cc,3,12,8,1,3,4,no
sy8swpt.com,1,0,0,1,3,1,no
95588myp.cc,3,2,8,1,3,4,no
wapicbrc.cc,3,2,2,1,4,4,no
pnjohnwlne.win,12,0,0,2,2,7,no
wap-cirbc.cc,3,3,2,1,4,2,no
99hh.net,4,0,12,4,3,1,no
95533aifccb.com,1,2,12,1,4,2,no
cc10086fu.com,1,0,0,1,3,1,no
pay-ccf.cc,3,0,0,1,3,1,no
nvzhubo.net,4,1,12,1,3,2,no
zjzgrs.cn,2,0,0,2,3,1,no
557088.com,1,0,0,1,4,1,no
jswety.com,1,10,10,1,3,1,no
4437vip.com,1,0,0,4,2,1,no
365133.com,1,0,0,4,2,1,no
tctldoj.pw,11,0,0,1,4,7,no
amjs00.cc,3,0,0,1,2,1,no
fzpin.com,1,1,12,1,3,4,no
esuliao.com,1,0,9,1,4,1,yes
ivpcv.com,1,0,0,1,3,4,no
ccbxzt.cc,3,5,1,1,4,1,no
icbey.cc,3,12,1,1,3,1,no
7935v.com,1,0,0,4,2,1,no
psy-aix.cc,3,3,2,1,4,4,no
cqustbbs.cn,2,12,12,1,3,1,no
fmfqh.com,1,0,0,1,3,1,no
10086cks.pw,11,0,0,1,3,7,no
dyndns.com,1,12,12,1,2,1,yes
5pk.net,4,0,0,1,2,1,no
17avi.com,1,0,0,3,4,1,no
ghjfwb.net,4,0,0,1,3,1,no
guanjiajia.org,5,2,12,1,4,4,yes
wrfmh.com,1,0,0,1,3,1,no
xhlongtai.com.cn,2,0,0,1,3,1,yes
1futong.com,1,12,1,2,3,1,yes
95588cuu.xyz,15,0,0,1,4,7,no
jfdrytr.pw,11,0,0,1,2,7,no
ccbvcjs.com,1,0,0,1,3,1,no
jjchs888.com,1,0,0,1,3,5,no
wap-cvebi.cc,3,3,2,1,3,4,no
applelosid.com,1,2,10,1,2,1,no
tx-wx.cc,3,1,6,1,4,4,no
95588hnt.cc,3,1,8,1,3,4,no
788017.com,1,12,11,4,1,2,no
wulinshe.com,1,2,1,3,2,1,yes
ccboup.cc,3,5,1,1,3,1,no
483777.com,1,0,0,1,3,1,no
45598v.com,1,0,0,4,2,1,no
xekwg.cn,2,3,12,1,4,1,no
95599-xc.pw,11,0,0,1,4,7,no
5ifit.com,1,12,4,2,2,4,yes
ascottchina.com,1,12,2,2,2,5,yes
cpy-iccb.cc,3,1,2,1,3,2,no
dk755.com,1,0,3,2,2,7,no
696017.com,1,0,0,4,4,1,no
qzrbx.com,1,2,1,1,1,1,yes
cbbphe.cc,3,1,6,1,3,5,no
ccbpcn.com,1,0,0,1,2,1,yes
ccbbju.cc,3,5,1,1,3,1,no
pey-accb.cc,3,2,2,1,3,4,no
5566524.com,1,0,0,4,2,1,no
youxiczvv602.com,1,0,0,2,3,1,no
95533em.cc,3,12,8,1,3,4,no
icbcqii.com,1,0,0,1,3,3,no
costoon.com,1,12,1,1,2,1,yes
769999.com,1,0,0,4,2,1,no
20256.com,1,1,7,1,4,2,no
pdstygg.com,1,12,4,1,4,1,yes
ccbruk.cc,3,5,1,1,3,1,no
40158.com,1,1,1,1,2,1,no
worldmarte.com,1,5,1,2,2,1,yes
485500.com,1,0,0,1,3,1,no
tzascdd.cc,3,1,6,1,4,2,no
fyglj.com,1,0,0,1,3,1,no
cbaae.cc,3,12,7,1,3,4,no
vbdmhgtrdh.tk,14,0,0,1,2,1,no
wap-cocbc.com,1,3,10,1,3,1,no
480846.com,1,0,0,1,4,1,no
no1cp.com,1,12,8,1,3,3,yes
se55.info,6,3,12,3,2,1,no
95555-com.pw,11,0,0,1,2,7,no
rsxtd.com,1,0,0,1,3,1,no
yy1oo86.com,1,2,8,1,3,4,no
pay-iccb.top,13,0,0,1,3,2,no
ddkjg.com,1,2,1,1,3,1,no
cvirt.cc,3,0,0,1,3,1,no
95588inl.cc,3,0,0,1,3,1,no
521jzw.com,1,0,0,4,3,4,no
sofang.com,1,8,2,2,2,10,yes
concerone.com,1,2,2,2,2,2,yes
icbeu.cc,3,3,8,1,3,4,no
gjso.com,1,12,1,2,2,1,yes
l0086kdjc.com,1,0,0,1,3,4,no
95599tab.com,1,12,2,1,3,3,no
3322.net,4,12,10,1,1,2,yes
yzgo.net,4,12,12,1,2,1,no
hdxw.com,1,0,0,1,4,1,yes
izbau.com,1,1,12,1,3,2,no
zcxygoping669.com,1,0,0,1,3,1,no
56888.net,4,12,12,1,4,2,yes
l0086ccr.com,1,1,10,1,3,1,no
jsoil.net,4,3,2,1,3,3,yes
homenice.com.cn,2,2,12,2,2,1,yes
sjzdjbb.cc,3,1,6,1,3,2,no
qiucinews.com,1,12,1,1,4,5,yes
41kxw.com,1,0,0,2,2,1,no
zhmc123.com,1,0,12,2,2,1,yes
cvcdc.com,1,1,12,1,2,4,no
ccbwp.cc,3,5,1,1,3,1,no
icbclb.com,1,1,8,1,3,4,no
33141.com,1,1,7,1,4,2,no
km-airnet.net,4,0,0,2,2,1,no
pay-ccr.cc,3,0,0,1,3,1,no
ccbccb.cc,3,2,8,1,4,4,no
52lytuan.com,1,5,1,2,2,1,yes
tywx.com,1,0,0,2,2,1,yes
7935x.com,1,0,0,4,2,1,no
mbgworld.com,1,2,2,1,2,5,yes
10086kda.pw,11,0,0,1,4,7,no
alnuri.com,1,12,12,2,2,6,yes
95588het.cc,3,1,8,1,3,4,no
gshwzq.cc,3,5,1,1,3,1,no
ctcadc.cc,3,1,6,1,3,4,no
hheed.com,1,12,12,1,2,1,no
smkjfw.com,1,12,12,1,4,4,yes
371z.com,1,0,3,2,1,1,no
cmcbyaa.net,4,0,0,1,3,1,no
0163c.com,1,12,11,2,2,5,no
scgwjt.com,1,12,4,2,2,1,yes
95588lnt.cc,3,1,8,1,3,4,no
wjsdkj546427.com,1,0,0,1,3,7,no
usazz.us,16,1,12,2,2,4,no
26937.biz,9,1,12,1,3,3,no
hg00288.com,1,3,10,1,4,5,no
ccbfcb.com,1,0,0,1,3,1,no
21humanface.com,1,0,0,2,3,4,no
95588icbv.com,1,2,2,1,3,5,no
022bhbj.com,1,12,12,1,4,2,yes
motouch.net,4,0,0,1,4,1,yes
muentang.org,5,12,12,1,4,2,yes
dacf.cn,2,12,12,1,4,1,yes
pianyiduo.net,4,0,12,1,2,1,yes
gsyhwt.net,4,2,2,1,3,2,no
zzgpl.com,1,0,0,1,2,1,yes
xp10086.pw,11,0,0,1,4,7,no
dayue.me,8,3,4,1,4,2,no
56666.com,1,0,0,4,4,1,no
cvvvb.com,1,0,0,1,3,1,no
ccbmdy.cc,3,5,1,1,3,1,no
208800.com,1,0,0,1,1,1,no
menkea.com,1,12,4,1,4,1,yes
42668.com,1,1,2,4,2,2,no
jkpin.com,1,12,12,2,2,1,no
wap-mcbc.cc,3,1,2,1,4,4,no
bqbxc.com,1,1,12,4,2,2,no
95533aniccb.com,1,2,12,1,4,2,no
udzhi.pw,11,0,0,2,2,7,no
zgsjnkys.cn,2,12,12,2,4,1,no
zkxca.com,1,1,10,2,2,1,no
95533dz.win,12,0,0,1,4,7,no
cvmid.cc,3,0,0,1,3,1,no
gdydts.com,1,12,2,1,1,5,no
szshichuang.com,1,1,6,4,2,2,no
369k.net,4,1,2,1,4,3,yes
wallcoo.com,1,1,1,2,2,1,yes
95588-r.com,1,0,0,1,3,1,no
10086kdc.pw,11,0,0,1,4,7,no
jtpk8.com,1,1,2,2,3,2,yes
enmotech.com,1,12,12,2,2,1,yes
cunbao963.com,1,0,0,2,3,1,no
fafkl.com,1,0,0,1,2,1,no
icbcqr-xyk.com,1,0,0,1,3,1,no
99jee.com,1,0,9,2,2,1,yes
wap-ivcbc.cc,3,3,2,1,3,4,no
ibchr.com,1,0,0,2,2,1,no
ccbmts.cc,3,5,1,1,4,1,no
55555dk.com,1,0,0,1,3,4,no
kj455.com,1,0,0,1,2,1,no
2beian.com,1,1,10,4,3,1,yes
ccumot.cc,3,5,1,1,3,1,no
l0086yys.com,1,1,10,1,3,1,no
95588szy.cc,3,2,8,1,3,4,no
qcyahua.com,1,1,12,4,2,2,no
l0086gey.com,1,0,0,1,3,1,no
0141222.com,1,0,0,2,4,1,no
bl-l.pw,11,0,0,1,4,7,no
ewincity.net,4,0,0,4,4,1,no
833167.com,1,0,0,1,3,1,no
vrbjy.com,1,0,0,1,3,2,no
chickenkiller.com,1,12,12,1,2,1,yes
ccivb.com,1,0,0,1,4,1,no
ccbprys.cc,3,5,1,1,3,1,no
bocmg.cc,3,0,0,1,3,1,no
qzzyfc.com,1,1,2,1,1,5,yes
ccbiqf.cc,3,5,1,1,4,1,no
ccumop.cc,3,5,1,1,3,1,no
ccbstu.cc,3,0,0,1,3,1,no
lcbcz.com,1,0,0,1,3,1,no
ag-95588.com,1,0,0,1,3,1,no
95588yic.cc,3,1,8,1,4,4,no
561633.com,1,0,0,4,2,1,no
wap-95588gza.pw,11,0,0,1,4,7,no
667698.com,1,0,0,2,3,1,no
kuqiao123.com,1,1,12,1,4,3,yes
tqsy.com.cn,2,12,12,1,4,1,yes
fw888.com,1,12,12,2,2,7,no
554925.com,1,1,6,1,1,3,no
sjbdc.com,1,0,0,2,4,1,yes
fl78.com,1,2,12,1,4,2,yes
caibwh.com,1,0,0,2,4,1,no
mmjqx.cn,2,4,12,1,2,1,yes
bbt999.com,1,2,1,2,4,1,yes
rfeda.cn,2,3,12,1,1,1,yes
dhy300.com,1,0,0,4,2,1,no
eyu.com,1,0,3,1,1,1,yes
ccbmguh.cc,3,5,1,1,3,1,no
40ao.com,1,1,1,2,2,1,yes
xhzzz.com,1,1,12,1,3,2,yes
182w.com,1,0,3,1,4,1,yes
vns1567.com,1,0,0,1,3,1,no
ghyfce.com,1,2,2,1,3,4,no
yyl.cc,3,1,2,1,4,2,no
vidown.cn,2,12,12,2,2,1,yes
bnmppgroup2016gov.top,13,0,0,1,3,5,no
iccrg.com,1,0,0,1,2,7,no
dyrer.cc,3,5,1,1,3,1,no
bbqyq.cn,2,1,12,2,2,1,no
2neyemed.com,1,12,12,2,2,2,yes
qnwer.com,1,3,1,1,4,1,yes
7627797.com,1,0,0,1,3,1,no
duote.org,5,12,12,1,2,3,yes
huaguow.com,1,0,0,2,3,1,no
555789n.com,1,0,0,2,2,1,no
ra79.biz,9,12,12,2,2,2,no
9999av.com,1,12,12,1,4,1,yes
ccbebs.cc,3,5,1,1,3,1,no
035573.com,1,0,0,1,4,1,no
bjjcxs.cn,2,1,12,1,4,1,yes
fzcong.com,1,0,0,1,3,7,no
baodaiw.com,1,2,12,1,2,2,yes
abohlua.cc,3,2,8,1,4,4,no
kj144.com,1,0,0,1,2,1,no
juanxincai.com.cn,2,1,12,1,1,1,yes
ljqingzhai.com,1,9,10,1,4,1,no
za10086.pw,11,0,0,1,4,7,no
vxcxth.pw,11,0,0,2,2,7,no
3548.cc,3,12,12,2,2,2,no
aizke.com,1,12,12,4,2,4,yes
gshfzq.cc,3,5,1,1,3,1,no
cbcil.com,1,0,0,1,3,1,no
xingshilawyer.com,1,12,12,2,1,7,no
sonicbbs.com.cn,2,3,12,2,2,1,yes
ujmki.com,1,0,0,1,3,1,no
ccbiu.cc,3,5,1,1,3,1,no
7y88.com,1,2,7,4,2,2,yes
cbbzsav.cc,3,1,6,1,4,2,no
ghjfkb.com,1,0,0,1,3,1,no
ccbrgf.cc,3,5,1,1,3,3,no
ccbyrea.com,1,2,10,2,2,2,no
ccbpta.com,1,1,10,2,2,1,no
